관리기관명,지정번호,보호수지정일자,보호수유형명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,소재지지번주소,위도,경도,데이터기준일자
경기도 여주시청,여주-46,1982-10-15,노목,,느티나무,1,400,20,252,,마을나무,도로,경기도 여주시 산북면 명품리 706,37.407803,127.442963,2020-07-17
경기도 여주시청,여주-45,1982-10-15,노목,,느티나무,1,400,18,181,,마을나무,대,경기도 여주시 산북면 백자리 38,37.416851,127.459595,2020-07-17
경기도 여주시청,여주-44,1982-10-15,노목,,느티나무,1,400,18,200,,마을나무,구거,경기도 여주시 산북면 백자리 345-1,37.415598,127.456229,2020-07-17
경기도 여주시청,여주-42,1982-10-15,노목,,느티나무,1,100,15,105,,마을나무,대,경기도 여주시 금사면 주록리 44-1,37.376213,127.472991,2020-07-17
경기도 여주시청,여주-41,1982-10-15,노목,,물푸레나무,1,150,14,87,,마을나무,임야,경기도 여주시 금사면 궁리 289,37.383371,127.519378,2020-07-17
경기도 여주시청,여주-40,1982-10-15,노목,,느티나무,1,300,22,168,,마을나무,대,경기도 여주시 금사면 도곡리 183-12,37.378529,127.506513,2020-07-17
경기도 여주시청,여주-14,1982-10-15,노목,,느티나무,1,320,25,185,,마을나무,전,경기도 여주시 가남읍 안금리 160,37.222799,127.602889,2020-07-17
경기도 여주시청,여주-39,1982-10-15,노목,,느티나무,1,300,20,152,,마을나무,구거,경기도 여주시 금사면 도곡리 615,37.379967,127.506196,2020-07-17
경기도 여주시청,여주-35,1982-10-15,노목,,느티나무,1,300,18,183,,마을나무,임야,경기도 여주시 금사면 이포리 155-14,37.395963,127.536091,2020-07-17
경기도 여주시청,여주-34,1982-10-15,노목,,느티나무,1,500,15,160,,마을나무,대,경기도 여주시 금사면 이포리 281-2,37.391563,127.533749,2020-07-17
경기도 여주시청,여주-33,1982-10-15,노목,,은행나무,1,500,20,190,,마을나무,하천,경기도 여주시 금사면 이포리 380,37.401639,127.537001,2020-07-17
경기도 여주시청,여주-32,1982-10-15,노목,,느티나무,1,500,18,170,,마을나무,전,경기도 여주시 금사면 외평리 197-2,37.412989,127.529847,2020-07-17
경기도 여주시청,여주-31,1982-10-15,노목,,은행나무,1,100,20,116,,마을나무,임야,경기도 여주시 흥천면 외사리 38-4,37.353704,127.497913,2020-07-17
경기도 여주시청,여주-29,1982-10-15,노목,,은행나무,1,200,18,114,,마을나무,전,경기도 여주시 흥천면 율극리 22-3,37.334655,127.570617,2020-07-17
경기도 여주시청,여주-28,1982-10-15,노목,,향나무,1,300,6,102,,마을나무,전,경기도 여주시 흥천면 대당리 143,37.324153,127.542479,2020-07-17
경기도 여주시청,여주-27,1982-10-15,노목,,느티나무,1,120,15,160,,마을나무,도로,경기도 여주시 흥천면 귀백리 267,37.343564,127.549001,2020-07-17
경기도 여주시청,여주-26,1982-10-15,노목,,느티나무,1,350,16,112,,마을나무,전,경기도 여주시 흥천면 귀백리 136,37.342461,127.556114,2020-07-17
경기도 여주시청,여주-25,1982-10-15,노목,,은행나무,1,200,20,192,,마을나무,대,경기도 여주시 흥천면 계신리 192,37.373761,127.540274,2020-07-17
경기도 여주시청,여주-24,1982-10-15,노목,,은행나무,1,200,20,230,,마을나무,임야,경기도 여주시 흥천면 상대리 101,37.342208,127.516036,2020-07-17
경기도 여주시청,여주-23,1982-10-15,노목,,향나무,1,150,13,65,,마을나무,전,경기도 여주시 흥천면 상대리 74-1,37.347978,127.515251,2020-07-17
경기도 여주시청,여주-22,1982-10-15,노목,,향나무,1,300,7,70,,마을나무,임야,경기도 여주시 흥천면 상백리 166,37.363709,127.553916,2020-07-17
경기도 여주시청,여주-21,1982-10-15,노목,,은행나무,1,300,25,152,,마을나무,전,경기도 여주시 흥천면 신근리 403,37.311045,127.560501,2020-07-17
경기도 여주시청,여주-20,1982-10-15,노목,,오리나무,3,150,17,88,,마을나무,답,경기도 여주시 능서면 용은리 74-6,37.292706,127.555041,2020-07-17
경기도 여주시청,여주-19,1982-10-15,노목,,향나무,1,160,8,40,,마을나무,하천,경기도 여주시 능서면 구양리 586,37.319316,127.573161,2020-07-17
경기도 여주시청,여주-18,1982-10-15,노목,,향나무,1,160,7,50,,마을나무,대,경기도 여주시 능서면 번도리 323,37.306275,127.577152,2020-07-17
경기도 여주시청,여주-17,1982-10-15,노목,,느티나무,1,200,15,110,,마을나무,전,경기도 여주시 능서면 용은리 404-8,37.284856,127.544715,2020-07-17
경기도 여주시청,여주-16,1982-10-15,노목,,은행나무,1,250,17,183,,마을나무,전,경기도 여주시 가남읍 대신리 21-2,37.194754,127.535816,2020-07-17
경기도 여주시청,여주-15,1982-10-15,노목,,느티나무,1,350,15,130,,마을나무,대,경기도 여주시 가남읍 금당리 310,37.207109,127.614699,2020-07-17
경기도 여주시청,여주-13,1982-10-15,노목,,느티나무,1,120,20,152,,마을나무,대,경기도 여주시 점동면 처리 188-7,37.225644,127.675853,2020-07-17
경기도 여주시청,여주-12,1982-10-15,노목,,느티나무,1,250,15,114,,마을나무,도로,경기도 여주시 점동면 장안리 699,37.203768,127.712408,2020-07-17
경기도 여주시청,여주-11,1982-10-15,노목,,은행나무,1,150,22,90,,마을나무,잡종지,경기도 여주시 점동면 덕평리 29-1,37.186396,127.659109,2020-07-17
경기도 여주시청,여주-10,1982-10-15,노목,,느티나무,1,430,13,118,,마을나무,유지,경기도 여주시 점동면 덕평리 84,37.182906,127.660498,2020-07-17
경기도 여주시청,여주-9,1982-10-15,노목,,은행나무,1,700,25,226,,마을나무,전,경기도 여주시 점동면 뇌곡리 42-2,37.155779,127.666686,2020-07-17
경기도 여주시청,여주-8,1982-10-15,노목,,은행나무,1,100,13,90,,마을나무,대,경기도 여주시 홍문동 4,37.285305,127.638341,2020-07-17
경기도 여주시청,여주-7,1982-10-15,노목,,느티나무,1,170,15,116,,마을나무,도로,경기도 여주시 멱곡동 492,37.248255,127.662394,2020-07-17
경기도 여주시청,여주-6,1982-10-15,노목,,향나무,1,250,7,100,,마을나무,도로,경기도 여주시 멱곡동 492,37.248255,127.662394,2020-07-17
경기도 여주시청,여주-5,1982-10-15,노목,,향나무,1,150,6,33,,마을나무,대,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
경기도 여주시청,여주-4,1982-10-15,노목,,향나무,1,100,6,44,,마을나무,대,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
경기도 여주시청,여주-2,1982-10-15,노목,,은행나무,1,200,20,116,,마을나무,대,경기도 여주시 교동 261-1,37.289136,127.628319,2020-07-17
경기도 여주시청,여주-1,1982-10-15,노목,,느티나무,1,300,18,208,,마을나무,하천,경기도 여주시 우만동 233,37.285344,127.033899,2020-07-17
